epoch, training loss, rmse loss, validation loss
1,1019.932,1019.932,0.000
2,343.745,343.745,0.000
3,261.251,261.251,0.000
4,211.954,211.954,0.000
5,178.553,178.553,0.000
6,154.158,154.158,0.000
7,135.188,135.188,0.000
8,121.843,121.843,0.000
9,111.020,111.020,0.000
10,100.847,100.847,0.000
11,92.730,92.730,0.000
12,86.843,86.843,0.000
13,81.257,81.257,0.000
14,77.066,77.066,0.000
15,72.293,72.293,0.000
16,69.141,69.141,0.000
17,65.924,65.924,0.000
18,63.152,63.152,0.000
19,60.965,60.965,0.000
20,58.479,58.479,0.000
21,56.590,56.590,0.000
22,55.030,55.030,0.000
23,53.518,53.518,0.000
24,51.966,51.966,0.000
25,50.736,50.736,0.000
26,49.592,49.592,0.000
27,48.420,48.420,0.000
28,47.324,47.324,0.000
29,46.972,46.972,0.000
30,45.817,45.817,0.000
31,45.226,45.226,0.000
32,44.534,44.534,0.000
33,44.168,44.168,0.000
34,43.119,43.119,0.000
35,42.788,42.788,0.000
36,42.403,42.403,0.000
37,41.862,41.862,0.000
38,41.402,41.402,0.000
39,40.974,40.974,0.000
40,40.709,40.709,0.000
41,40.370,40.370,0.000
42,40.162,40.162,0.000
43,39.625,39.625,0.000
44,39.612,39.612,0.000
45,39.211,39.211,0.000
46,38.830,38.830,0.000
47,38.765,38.765,0.000
48,38.451,38.451,0.000
49,38.351,38.351,0.000
50,37.977,37.977,0.000
51,37.885,37.885,0.000
52,37.703,37.703,0.000
53,37.505,37.505,0.000
54,37.413,37.413,0.000
55,37.184,37.184,0.000
56,36.958,36.958,0.000
57,37.025,37.025,0.000
58,36.789,36.789,0.000
59,36.825,36.825,0.000
60,36.711,36.711,0.000
61,36.278,36.278,0.000
62,36.233,36.233,0.000
63,36.330,36.330,0.000
64,36.173,36.173,0.000
65,36.269,36.269,0.000
66,35.940,35.940,0.000
67,35.813,35.813,0.000
68,35.927,35.927,0.000
69,35.705,35.705,0.000
70,35.515,35.515,0.000
71,35.493,35.493,0.000
72,35.442,35.442,0.000
73,35.316,35.316,0.000
74,35.499,35.499,0.000
75,35.311,35.311,0.000
76,35.341,35.341,0.000
77,35.234,35.234,0.000
78,35.274,35.274,0.000
79,35.139,35.139,0.000
80,34.930,34.930,0.000
81,35.041,35.041,0.000
82,34.956,34.956,0.000
